"﻿I01";"NOMPROV";"I02";"NOMCANT";"I03";"I03Cl";"I03C";"codParr";"NOMPARR";"I04";"I05";"numv";"numh";"nump";"TOTPER";"H00";"P00";"PCD";"P01";"P03";"GEDAD";"GRANEDAD";"P04M";"P04A";"P05";"P06_A";"P07";"P08";"Discapacidad";"P11LO";"P11L";"P11P";"P11C";"P11PQ";"P12LO";"P12L";"P12P";"P12C";"P12PQ";"P13LO";"P13L";"P13P";"P13C";"P13PQ";"P142P";"P142M";"P152";"P16";"P19";"P20T";"P20I";"P20C";"P21";"P23";"P24";"GRAESC";"GRAESCSA";"P25";"P27";"P28";"TIPOACT";"P29";"RAMACT";"P30";"GRUOCU";"P31";"CATOCUP";"P32";"P33";"P34";"P35";"P36";"P36H";"P36M";"P37";"P38";"P39A";"P39M";"P40";"P02"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;50;1;1;6;1;1;1;1;45;11;2;12;1964;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;1410;3;7531;7;6;6;45;2;1;3;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;50;1;2;6;1;2;1;2;44;10;2;6;1966;1;1;2;2;2;2;2;4;405;40550;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;5;6;13;12;;1;;1;1410;3;7533;7;6;6;45;1;1;5;2;2;0;2;17;1990;1;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;50;1;4;6;1;4;1;1;25;7;2;4;1985;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;1;1;2;9;3;16;15;1;1;;1;119;1;2133;2;2;2;45;2;1;3;;;;;;;;;"3"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;50;1;5;6;1;5;1;2;24;6;2;4;1986;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;1;1;1;2;2;2;5;6;13;12;;1;;1;1410;3;7533;7;2;2;45;2;1;7;1;0;1;1;18;2004;5;1;"4"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;51;1;1;3;1;1;1;1;36;9;2;8;1974;1;1;2;2;2;2;2;18;1807;180750;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;5;5;12;11;;1;;1;119;1;7544;7;2;2;46;2;1;3;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;51;1;2;3;1;2;1;2;26;7;2;12;1983;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;1;1;2;5;6;13;12;;1;;1;4719;7;3322;3;2;2;50;2;1;3;1;0;1;1;22;2006;10;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;52;1;3;5;1;3;1;1;82;18;3;3;1928;1;1;2;1;1;2;2;4;403;40350;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;3;4;3;;7;7;13;;;;;;;;;1;7;;;;;;;;;"7"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;52;1;4;5;1;4;1;2;77;17;3;2;1933;1;1;2;2;2;2;2;10;1005;100550;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;2;3;2;;7;3;9;;;;;;;;;1;7;9;1;8;9;15;1977;12;1;"7"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;57;1;1;4;1;1;1;1;27;7;2;3;1983;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;7;3;13;12;;1;;1;4922;8;8322;8;2;2;45;2;1;3;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;57;1;2;4;1;2;1;2;25;7;2;8;1985;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;6;7;6;;7;5;11;;;;;;;;;1;7;2;2;0;2;25;2009;11;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;59;1;1;5;1;1;1;1;40;10;2;6;1970;1;1;2;2;2;1;1;10;1002;100250;2;2;10;1001;100150;1;1;10;1002;100250;2;2;2;1;2;1;2;2;2;4;1;2;1;;1;;1;1520;3;7536;7;2;2;72;2;1;3;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;59;1;2;5;1;2;1;2;37;9;2;7;1973;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;1;1;1;2;2;2;4;6;7;6;;1;;1;1410;3;8152;8;2;2;50;2;1;4;3;2;1;3;17;2000;8;1;"2"
